lat,lng,state,name,address,phone,email,website,contact_person,evitp_listing_url,source,scraped_at
34.003495,-85.979961,alabama,"A & S Electrical Contractors, Inc.","906 Nuckolls Street, P O Box 2026, Gadsden, AL 35903, USA",2563127258,jmeans@aselectrical.net,https://aselectrical.net/,Jud Means,https://evitp.org/alabama/listing/a-s-electrical-contractors-inc,evitp.org,2026-08-31
32.318231,-86.902298,alabama,Allstate Sales Group,"Alabama, USA",7323355588,aabadie@asginc.us,https://www.asginc.us/,Anne Abadie,https://evitp.org/alabama/listing/allstate-sales-group,evitp.org,2026-08-31
34.868771,-87.547186,alabama,"Apex Electrical Services, LLC","190 Lakeside Drive, Killen, AL 35645, USA",2567402339,thomas.hamm@outlook.com,,Thomas Hamm,https://evitp.org/alabama/listing/apex-electrical-services-llc,evitp.org,2026-08-31
32.318231,-86.902298,alabama,Apollo Sign and Light,"Alabama, USA",8644107373,fbullington@apollosign.com,https://apollosign.com/,Frankie Bullington,https://evitp.org/alabama/listing/apollo-sign-and-light,evitp.org,2026-08-31
33.408931,-86.964272,alabama,"Astro Electric Company, Inc.","1127 19th Street North, Bessemer, AL, 35020, USA",2054240060,crolandj@bellsouth.net,,Charles R. Jones,https://evitp.org/alabama/listing/astro-electric-company-inc,evitp.org,2026-08-31
34.912886,-87.669676,alabama,"B Electric, Inc.","6644 State Highway 17, Florence, AL 35634, USA",2563660369,jbowles@belectricinc.com,,James Bowles,https://evitp.org/alabama/listing/b-electric-inc,evitp.org,2026-08-31
32.318231,-86.902298,alabama,"Beltline Electric Co., inc.","Alabama, USA",2709297118,rdaniel@beltlineservices.com,https://beltlineelectric.com/,,https://evitp.org/alabama/listing/beltline-electric-co-inc,evitp.org,2026-08-31
34.76963,-87.482741,alabama,"Branyon Electric, LLC.","2590 Mount Pleasant Road, Muscle Shoals, AL, 35661 USA",2566331702,branyonelectric@gmail.com,,Michael Branyon,https://evitp.org/alabama/listing/branyon-electric-llc,evitp.org,2026-08-31
32.318231,-86.902298,alabama,"Capital City Electrical Services, LLC","Alabama, USA",4044294449,,https://www.ccelect.com/,Jim Johnson,https://evitp.org/alabama/listing/capital-city-electrical-services-llc,evitp.org,2026-08-31
32.385606,-86.317825,alabama,Conti LLC.,"Alabama, USA",5868551135,jmetzger@conticorporation.com,http://conticorporation.com/,James Metzger,https://evitp.org/alabama/listing/conti-llc,evitp.org,2026-08-31
32.318231,-86.902298,alabama,"EMS Electric, LLC.","Alabama, USA",13183760976,josh@emselectric.com,http://emselectric.com/,Josh Palmer,https://evitp.org/alabama/listing/ems-electric-llc,evitp.org,2026-08-31
34.731705,-86.872262,alabama,"Encore Electrical Services,LLC","12021 Southern Charm Boulevard, Madison, AL, 35756, USA",,,https://encoreelectricalservices.com/,,https://evitp.org/alabama/listing/encore-electrical-servicesllc,evitp.org,2026-08-31
34.768533,-87.672253,alabama,"Garnet Electric Co., Inc.","1615 East State Street, Sheffield, AL, 35660, USA",2563814062,jskipworth@garnetelectric.com,http://garnetelectric.com/,Jerrold Skipworth,https://evitp.org/alabama/listing/garnet-electric-co-inc,evitp.org,2026-08-31
32.392477,-86.396927,alabama,"Greers Electric, inc.","Alabama, USA",6628375751,justin@greerelectric.com,https://greerselectric.com/,Justin Greer,https://evitp.org/alabama/listing/greers-electric-inc,evitp.org,2026-08-31
30.611679,-88.155155,alabama,"Gulf Electric, Co., Inc. of Mobile","4917 Halls Mill Road, Mobile, AL, 36693, USA",2516660654,Bfreeman@gulfelec.com,http://gulfelec.com/,Brian Freeman,https://evitp.org/alabama/listing/gulf-electric-co-inc-of-mobile,evitp.org,2026-08-31
32.318231,-86.902298,alabama,Income Power,"Alabama, USA",8088662118,plloyd@incomepowerllc.com,https://www.incomepowerllc.com/,Patrick Lloyd,https://evitp.org/alabama/listing/income-power,evitp.org,2026-08-31
